17 197
   2259  5    567      
   1   3   4   8  10
   3309  4    869      
   1   3   4  11
   4497  3    693      
   1   3   4
   4965  4    747      
   1   4   9  11
   5961  3    733      
   1   4   9
    768  2    763      
   1   4
   3915  2    723      
   1   4
   3417  2    705      
   1   8
   4752  3   1075      
   2   5  11
   5454  5   1061      
   2   6  11  13  17
   2112  3    971      
   2   7  11
   3675  2   1105      
   2   7
   5943  5   1047      
   2  11  13  14  17
   5247  4   1035      
   2  11  13  17
   5298  4    995      
   2  11  14  15
   4542  3    983      
   2  11  14
   5484  3   1009      
   2  11  15
   3810  2    961      
   2  11
   5385  1   1087      
   2
   4140  4    673      
   3   5   8  10
   5199  3    949      
   3   5  11
   4809  6    659      
   3   6   8  10  13  17
   5868  5    935      
   3   6  11  13  17
   5796  4    581      
   3   7   8  10
   5307  6    631      
   3   8  10  13  14  17
   6252  6    645      
   3   8  10  13  15  17
   4611  5    619      
   3   8  10  13  17
   4662  5    605      
   3   8  10  14  15
   3897  4    593      
   3   8  10  14
   2862  3    557      
   3   8  10
   6357  5    921      
   3  11  13  14  17
   5661  4    909      
   3  11  13  17
   5712  4    895      
   3  11  14  15
   4956  3    883      
   3  11  14
   3912  2    859      
   3  11
   5100  1    685      
   3
   4767  5   2729      
   4   5  10  12  16
   3822  5   3603      
   4   5  10  16  17
   4047  3   3649      
   4   5  10
   5661  3   1249      
   4   9  10
   5562  5   1971      
   4  10  12  13  14
   4548  5   2271      
   4  10  12  14  16
   6261  5   2421      
   4  10  12  15  16
   4767  5   2849      
   4  10  13  14  17
   6507  5   2939      
   4  10  13  15  17
   4608  4   1795      
   4  10  14  15
   3603  5   3289      
   4  10  14  16  17
   3357  3   1521      
   4  10  14
   5316  5   3445      
   4  10  15  16  17
   4746  3   1697      
   4  10  15
   2820  2    539      
   4  10
   6345  4   4161      
   5   7  12  16
   6090  4   4175      
   5   7  16  17
   4239  5   2715      
   5   8  10  12  16
   5739  5   4227      
   5   8  10  16  17
   3294  5   3589      
   5   8  10  16  17
   3507  3   3639      
   5   8  10
   6525  5   4189      
   5  12  13  16  17
   1833  3   2703      
   5  12  16
   5268  3   4203      
   5  12  16
   1158  3   3577      
   5  16  17
   1158  3     90      
   5  16  17
   1272  1   3631      
   5
   6423  5   1191      
   6   7   9  13  17
   6141  6   4107      
   6   7  12  13  16  17
   6375  5   2553      
   6   9  11  12  16
   5958  5    835      
   6   9  11  13  17
   5421  5   3559      
   6   9  11  16  17
   5667  3   2765      
   6   9  11
   5079  5   1393      
   6   9  13  15  17
   3477  4   1449      
   6   9  13  17
   6426  4   3543      
   6   9  16  17
   6495  6   4091      
   6  11  12  13  16  17
   3918  7   2365      
   6  12  13  14  15  16  17
   4077  6   2525      
   6  12  13  15  16  17
   2700  5   2689      
   6  12  13  16  17
   2445  3   2073      
   6  12  13
   5313  3   2541      
   6  12  16
   2727  5   1629      
   6  13  14  15  17
   2661  4   1867      
   6  13  15  17
   2301  3   3029      
   6  13  17
   4368  3   3531      
   6  16  17
   1569  1   2779      
   6
   4563  5   2227      
   7   9  11  12  16
   4599  4   1757      
   7   9  11  15
   3606  5   3245      
   7   9  11  16  17
   3831  3   1135      
   7   9  11
   5559  4   2211      
   7   9  12  16
   6225  4   1177      
   7   9  13  17
   5508  3   1149      
   7   9  14
   5595  3   1743      
   7   9  15
   4614  4   3229      
   7   9  16  17
   4836  2   1123      
   7   9
   5901  5   2011      
   7  12  13  14  15
   6477  6   2657      
   7  12  13  15  16  17
   6078  4   2035      
   7  12  13  15
   4887  5   2333      
   7  12  14  15  16
   6123  4   3843      
   7  12  14  16
   5040  4   2451      
   7  12  15  16
   3486  3   2199      
   7  12  16
   5100  5   2903      
   7  13  14  15  17
   5286  4   2965      
   7  13  15  17
   3933  5   3365      
   7  14  15  16  17
   3699  3   1591      
   7  14  15
   5868  4   3857      
   7  14  16  17
   4095  4   3475      
   7  15  16  17
   3522  2   1733      
   7  15
   2541  3   3217      
   7  16  17
    204  1   1207      
   7
   4995  4   1311      
   8   9  10  14
   5133  3   1237      
   8   9  10
   6585  6   1997      
   8  10  12  13  14  15
   5418  7   2611      
   8  10  12  13  14  16  17
   5031  5   1959      
   8  10  12  13  14
   5571  6   2301      
   8  10  12  14  15  16
   4017  5   2257      
   8  10  12  14  16
   5730  5   2407      
   8  10  12  15  16
   5478  6   1853      
   8  10  13  14  15  17
   5841  6   2989      
   8  10  13  14  15  17
   4239  5   2837      
   8  10  13  14  17
   5979  5   2927      
   8  10  13  15  17
   4626  6   3333      
   8  10  14  15  16  17
   4080  4   1783      
   8  10  14  15
   3075  5   3275      
   8  10  14  16  17
   2829  3   1511      
   8  10  14
